 (1.416015624999999818e+04+0.000000000000000000e+00j)  (1.237106864798923400e+00-6.170122966430952038e-01j)
 (1.425781249999999818e+04+0.000000000000000000e+00j)  (1.328435268180057083e+00-7.045054744684365877e-01j)
 (1.435546874999999818e+04+0.000000000000000000e+00j)  (1.204342955593657116e+00-6.776221724586247719e-01j)
 (1.445312499999999818e+04+0.000000000000000000e+00j)  (1.294375156131642557e+00-6.529396243603601269e-01j)
 (1.455078124999999818e+04+0.000000000000000000e+00j)  (1.318891876067538327e+00-6.790576336469897889e-01j)
 (1.464843749999999818e+04+0.000000000000000000e+00j)  (1.302922172332769746e+00-6.855192474825486659e-01j)
 (1.474609374999999818e+04+0.000000000000000000e+00j)  (1.375922295945044338e+00-6.024797602301708022e-01j)
 (1.484374999999999818e+04+0.000000000000000000e+00j)  (1.433208620258617838e+00-7.059036812023335994e-01j)
 (1.494140624999999818e+04+0.000000000000000000e+00j)  (1.423430700747630340e+00-6.147173241861273452e-01j)
 (1.503906249999999818e+04+0.000000000000000000e+00j)  (1.529569359373507353e+00-7.206753215614105645e-01j)
 (1.513671874999999818e+04+0.000000000000000000e+00j)  (1.401846659003872952e+00-7.171185424145155585e-01j)
 (1.523437499999999818e+04+0.000000000000000000e+00j)  (1.579169927493532244e+00-6.944316228400981839e-01j)
 (1.533203124999999818e+04+0.000000000000000000e+00j)  (1.532060763167640838e+00-8.071226162391379466e-01j)
 (1.542968749999999818e+04+0.000000000000000000e+00j)  (1.601240083989913021e+00-7.110402849581002327e-01j)
 (1.552734374999999818e+04+0.000000000000000000e+00j)  (1.681263735232549017e+00-8.090882073402171359e-01j)
 (1.562499999999999818e+04+0.000000000000000000e+00j)  (1.722588187747255084e+00-7.633444978247163615e-01j)
 (1.572265624999999818e+04+0.000000000000000000e+00j)  (1.880965445396885372e+00-7.865956022338865816e-01j)
 (1.582031249999999818e+04+0.000000000000000000e+00j)  (1.921710691195438470e+00-9.182026387859967276e-01j)
 (1.591796874999999818e+04+0.000000000000000000e+00j)  (2.027085745163177855e+00-9.842481247563912294e-01j)
 (1.601562499999999818e+04+0.000000000000000000e+00j)  (2.126194738585085009e+00-1.245026881577636635e+00j)
 (1.611328124999999818e+04+0.000000000000000000e+00j)  (2.129162618685630282e+00-1.391833464935929632e+00j)
 (1.621093749999999818e+04+0.000000000000000000e+00j)  (2.159228525871411897e+00-1.629515956680042787e+00j)
 (1.630859374999999818e+04+0.000000000000000000e+00j)  (2.037337117988434976e+00-1.838250354541283382e+00j)
 (1.640624999999999636e+04+0.000000000000000000e+00j)  (1.905598428558306745e+00-1.986781094754718424e+00j)
 (1.650390624999999636e+04+0.000000000000000000e+00j)  (1.680708232818126424e+00-2.089764992851137482e+00j)
 (1.660156249999999636e+04+0.000000000000000000e+00j)  (1.491981984401798078e+00-2.131895483570120042e+00j)
 (1.669921874999999636e+04+0.000000000000000000e+00j)  (1.311389637814889486e+00-2.113013808644506497e+00j)
 (1.679687499999999636e+04+0.000000000000000000e+00j)  (1.206575668561567394e+00-2.096297245666326248e+00j)
 (1.689453124999999636e+04+0.000000000000000000e+00j)  (1.074034909883588629e+00-2.025031058537976492e+00j)
 (1.699218749999999636e+04+0.000000000000000000e+00j)  (1.045830412487529948e+00-1.947946541240189955e+00j)
 (1.708984374999999636e+04+0.000000000000000000e+00j)  (9.886224714399808322e-01-1.936567462380796245e+00j)
 (1.718749999999999636e+04+0.000000000000000000e+00j)  (9.439638649472675835e-01-1.851403889144567438e+00j)
 (1.728515624999999636e+04+0.000000000000000000e+00j)  (9.344514972440131073e-01-1.829738414469141983e+00j)
